TransactionID,Timestamp,SenderCountry,ReceiverCountry,Amount,Currency,TransactionType,RiskScore,JurisdictionRisk,ComplianceFlag,GeneratedByGenAI
TX-100000,2024-06-27 20:08:57.975044,India,Japan,19155.75,INR,SEPA,38.44,Low,False,Yes
TX-100001,2025-03-01 13:06:02.975044,Canada,South Africa,69432.59,CAD,SEPA,9.31,Low,False,Yes
TX-100002,2024-06-27 17:30:07.975044,USA,USA,60303.03,USD,SWIFT,30.29,Low,False,Yes
TX-100003,2024-10-18 02:05:36.975044,Brazil,Australia,18535.05,BRL,ACH,49.8,Medium,False,Yes
TX-100004,2024-06-13 04:01:13.975044,France,Australia,27393.03,EUR,SWIFT,18.52,Low,False,Yes
TX-100005,2025-03-11 20:12:45.975044,Germany,Japan,40957.75,EUR,SWIFT,46.66,Medium,False,Yes
TX-100006,2024-07-26 10:26:03.975044,Germany,Netherlands,69954.35,EUR,RTGS,83.63,High,True,Yes
TX-100007,2025-01-19 15:58:31.975044,UK,Australia,63908.47,GBP,SEPA,87.26,High,True,Yes
TX-100008,2025-02-24 09:14:57.975044,Brazil,China,53270.26,BRL,Wire,4.93,Low,False,Yes
TX-100009,2025-01-05 10:38:31.975044,Canada,Brazil,76864.21,CAD,ACH,16.09,Low,False,Yes
TX-100010,2024-09-25 14:50:46.975044,India,Spain,75817.98,INR,SEPA,27.53,Low,False,Yes
TX-100011,2025-01-24 23:43:55.975044,Brazil,Italy,61824.13,BRL,SWIFT,59.49,Medium,False,Yes
TX-100012,2024-11-24 22:53:20.975044,Netherlands,Spain,78720.31,EUR,SWIFT,36.1,Low,False,Yes
TX-100013,2024-09-02 20:52:53.975044,Japan,South Africa,33492.91,JPY,SEPA,84.4,High,True,Yes
TX-100014,2024-09-21 08:11:32.975044,Canada,France,88136.83,CAD,Wire,71.67,High,True,Yes
TX-100015,2024-09-23 15:16:36.975044,China,France,61529.52,CNY,Wire,10.05,Low,False,Yes
TX-100016,2024-05-07 10:29:37.975044,Italy,UK,82254.12,EUR,ACH,62.46,Medium,False,Yes
TX-100017,2024-05-11 10:19:05.975044,USA,USA,54673.28,USD,SWIFT,11.3,Low,False,Yes
TX-100018,2025-01-30 18:55:36.975044,USA,Brazil,21921.98,USD,SWIFT,25.5,Low,False,Yes
TX-100019,2025-01-18 03:19:08.975044,Canada,Netherlands,54286.77,CAD,Wire,17.79,Low,False,Yes
TX-100020,2024-04-07 13:59:40.975044,Germany,China,37174.06,EUR,RTGS,17.31,Low,False,Yes
TX-100021,2024-12-15 18:42:49.975044,Germany,Brazil,69780.15,EUR,SEPA,61.64,Medium,False,Yes
TX-100022,2024-06-14 12:18:31.975044,Japan,France,47631.8,JPY,ACH,56.36,Medium,False,Yes
TX-100023,2024-12-06 22:23:59.975044,China,Brazil,83627.67,CNY,Wire,17.6,Low,False,Yes
TX-100024,2024-05-08 22:17:05.975044,USA,South Africa,67839.44,USD,Wire,99.02,High,True,Yes
TX-100025,2024-12-06 14:00:19.975044,Japan,China,68485.99,JPY,RTGS,42.18,Medium,False,Yes
TX-100026,2024-06-06 10:24:23.975044,Germany,France,21793.82,EUR,SEPA,9.71,Low,False,Yes
TX-100027,2025-03-11 21:09:59.975044,Brazil,USA,98426.55,BRL,RTGS,12.06,Low,False,Yes
TX-100028,2024-05-10 13:41:35.975044,India,India,84183.35,INR,SWIFT,58.39,Medium,False,Yes
TX-100029,2024-12-02 03:04:59.975044,Brazil,Australia,78921.59,BRL,Wire,97.91,High,True,Yes
